FRENCH TOAST STICKS PLATTER,BREAKFAST ENTREES,Breakfast,Atrium
KINGS HAWAIIAN BREAKFAST SANDWICH,BREAKFAST ENTREES,Breakfast,Atrium
KINGS HAWAIIAN CROISANT SANDWICH,BREAKFAST ENTREES,Breakfast,Atrium
SCRAMBLED EGG PLATTER,BREAKFAST ENTREES,Breakfast,Atrium
BAJA SHRIMP TACO W/ CILANTRO LIME CREME,ENTREES,Lunch,Atrium
BEEF SLIDERS,ENTREES,Lunch,Atrium
BRISKET TACO,ENTREES,Lunch,Atrium
CALIFORNIA ROLL,ENTREES,Lunch,Atrium
CHEESEBURGER SLIDER,ENTREES,Lunch,Atrium
CHICKEN FINGER,ENTREES,Lunch,Atrium
CHICKEN SOUVLAKI,ENTREES,Lunch,Atrium
COCONUT LIME CHICKEN TACO,ENTREES,Lunch,Atrium
CRISPY CHICKEN SLIDER,ENTREES,Lunch,Atrium
GENERAL TSO CHICKEN,ENTREES,Lunch,Atrium
GENERAL TSO TOFU,ENTREES,Lunch,Atrium
GYRO,ENTREES,Lunch,Atrium
HAND TOSSED CHEESE PIZZA,ENTREES,Lunch,Atrium
HAND TOSSED CHICKEN BACON RANCH PIZZA,ENTREES,Lunch,Atrium
HAND TOSSED MEAT LOVER'S PIZZA,ENTREES,Lunch,Atrium
HAND TOSSED VEGGIE PIZZA,ENTREES,Lunch,Atrium
HUNAN BEEF,ENTREES,Lunch,Atrium
KH WINGS,ENTREES,Lunch,Atrium
MEZZE BOWL,ENTREES,Lunch,Atrium
SALMON POKE BOWL,ENTREES,Lunch,Atrium
SMOKED BRISKET SLIDER,ENTREES,Lunch,Atrium
THREE CHILI'S NACHOS,ENTREES,Lunch,Atrium
TOFU POKE BOWL,ENTREES,Lunch,Atrium
VEGAN KABOB,ENTREES,Lunch,Atrium
VEGETABLE SUSHI,ENTREES,Lunch,Atrium
BAJA SHRIMP TACO W/ CILANTRO LIME CREME,ENTREES,Dinner,Atrium
BEEF SLIDERS,ENTREES,Dinner,Atrium
BRISKET TACO,ENTREES,Dinner,Atrium
CALIFORNIA ROLL,ENTREES,Dinner,Atrium
CHEESEBURGER SLIDER,ENTREES,Dinner,Atrium
CHICKEN FINGER,ENTREES,Dinner,Atrium
CHICKEN SOUVLAKI,ENTREES,Dinner,Atrium
COCONUT LIME CHICKEN TACO,ENTREES,Dinner,Atrium
CRISPY CHICKEN SLIDER,ENTREES,Dinner,Atrium
GENERAL TSO CHICKEN,ENTREES,Dinner,Atrium
GENERAL TSO TOFU,ENTREES,Dinner,Atrium
GYRO,ENTREES,Dinner,Atrium
HAND TOSSED CHEESE PIZZA,ENTREES,Dinner,Atrium
HAND TOSSED CHICKEN BACON RANCH PIZZA,ENTREES,Dinner,Atrium
HAND TOSSED MEAT LOVER'S PIZZA,ENTREES,Dinner,Atrium
HAND TOSSED VEGGIE PIZZA,ENTREES,Dinner,Atrium
HUNAN BEEF,ENTREES,Dinner,Atrium
KH WINGS,ENTREES,Dinner,Atrium
MEZZE BOWL,ENTREES,Dinner,Atrium
SALMON POKE BOWL,ENTREES,Dinner,Atrium
SMOKED BRISKET SLIDER,ENTREES,Dinner,Atrium
THREE CHILI'S NACHOS,ENTREES,Dinner,Atrium
TOFU POKE BOWL,ENTREES,Dinner,Atrium
VEGAN KABOB,ENTREES,Dinner,Atrium
VEGETABLE SUSHI,ENTREES,Dinner,Atrium
